"","WR","type","base","year","value","impacts"
"2011","Belgium","pop","Biodiversity impacts (bird sp lost)","2011",7.76972564321424,"Production impacts"
"2060","Belgium","gdp_cap","ES impacts (ton Cseq potential lost)","2011",9.50725270197951,"Production impacts"
"2109","Belgium","pop","ES impacts (ton Cseq potential lost)","2011",7.76972564321424,"Production impacts"
"2158","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2001",-2.8073669149877,"Production impacts"
"2207","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2001",-4.37814195215982,"Production impacts"
"2256","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2002",-3.57788898763212,"Production impacts"
"2305","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2002",-3.20587572848756,"Production impacts"
"2354","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2003",-5.00946783149384,"Production impacts"
"2403","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2003",-1.80832432348978,"Production impacts"
"2452","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2004",-7.3033643037842,"Production impacts"
"2501","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2004",-4.63494666701708,"Production impacts"
"2550","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2005",-8.53420841450892,"Production impacts"
"2599","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2005",-6.27691912242481,"Production impacts"
"2648","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2006",-10.4500203686999,"Production impacts"
"2697","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2006",-7.93714784522695,"Production impacts"
"2746","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2007",-13.4351883718929,"Production impacts"
"2795","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2007",-11.9600602370145,"Production impacts"
"2844","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2008",-13.7254457226124,"Production impacts"
"2893","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2008",-14.856523083081,"Production impacts"
"2942","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2009",-12.3397400622974,"Production impacts"
"2991","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2009",-15.4180560215186,"Production impacts"
"3040","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2010",-14.88324426611,"Production impacts"
"3089","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2010",-14.2946317653582,"Production impacts"
"3138","Belgium","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2011",-16.7082968046192,"Production impacts"
"3187","Belgium","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2011",-15.0866491957672,"Production impacts"
"34","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2001",0.148801888593487,"Production impacts"
"83","Brazil","pop","Biodiversity impacts (bird sp lost)","2001",1.41159762747748,"Production impacts"
"132","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2001",0.148801888593487,"Production impacts"
"181","Brazil","pop","ES impacts (ton Cseq potential lost)","2001",1.41159762747748,"Production impacts"
"230","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2002",1.32789864621533,"Production impacts"
"279","Brazil","pop","Biodiversity impacts (bird sp lost)","2002",2.80156606263281,"Production impacts"
"328","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2002",1.32789864621533,"Production impacts"
"377","Brazil","pop","ES impacts (ton Cseq potential lost)","2002",2.80156606263281,"Production impacts"
"426","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2003",1.01277242581516,"Production impacts"
"475","Brazil","pop","Biodiversity impacts (bird sp lost)","2003",4.15349545088413,"Production impacts"
"524","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2003",1.01277242581516,"Production impacts"
"573","Brazil","pop","ES impacts (ton Cseq potential lost)","2003",4.15349545088413,"Production impacts"
"622","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2004",5.70075091718288,"Production impacts"
"671","Brazil","pop","Biodiversity impacts (bird sp lost)","2004",5.44705914214511,"Production impacts"
"720","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2004",5.70075091718288,"Production impacts"
"769","Brazil","pop","ES impacts (ton Cseq potential lost)","2004",5.44705914214511,"Production impacts"
"818","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2005",7.90792715586499,"Production impacts"
"867","Brazil","pop","Biodiversity impacts (bird sp lost)","2005",6.66887011962266,"Production impacts"
"916","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2005",7.90792715586499,"Production impacts"
"965","Brazil","pop","ES impacts (ton Cseq potential lost)","2005",6.66887011962266,"Production impacts"
"1014","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2006",10.6302409808032,"Production impacts"
"1063","Brazil","pop","Biodiversity impacts (bird sp lost)","2006",7.81033492824941,"Production impacts"
"1112","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2006",10.6302409808032,"Production impacts"
"1161","Brazil","pop","ES impacts (ton Cseq potential lost)","2006",7.81033492824941,"Production impacts"
"1210","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2007",16.2427772172806,"Production impacts"
"1259","Brazil","pop","Biodiversity impacts (bird sp lost)","2007",8.87773247487873,"Production impacts"
"1308","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2007",16.2427772172806,"Production impacts"
"1357","Brazil","pop","ES impacts (ton Cseq potential lost)","2007",8.87773247487873,"Production impacts"
"1406","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2008",21.3321040754586,"Production impacts"
"1455","Brazil","pop","Biodiversity impacts (bird sp lost)","2008",9.89122322514982,"Production impacts"
"1504","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2008",21.3321040754586,"Production impacts"
"1553","Brazil","pop","ES impacts (ton Cseq potential lost)","2008",9.89122322514982,"Production impacts"
"1602","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2009",19.7804606338327,"Production impacts"
"1651","Brazil","pop","Biodiversity impacts (bird sp lost)","2009",10.8799375934995,"Production impacts"
"1700","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2009",19.7804606338327,"Production impacts"
"1749","Brazil","pop","ES impacts (ton Cseq potential lost)","2009",10.8799375934995,"Production impacts"
"1798","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2010",27.571761211168,"Production impacts"
"1847","Brazil","pop","Biodiversity impacts (bird sp lost)","2010",11.865143177815,"Production impacts"
"1896","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2010",27.571761211168,"Production impacts"
"1945","Brazil","pop","ES impacts (ton Cseq potential lost)","2010",11.865143177815,"Production impacts"
"1994","Brazil","gdp_cap","Biodiversity impacts (bird sp lost)","2011",30.1464414864135,"Production impacts"
"2043","Brazil","pop","Biodiversity impacts (bird sp lost)","2011",12.853642652483,"Production impacts"
"2092","Brazil","gdp_cap","ES impacts (ton Cseq potential lost)","2011",30.1464414864135,"Production impacts"
"2141","Brazil","pop","ES impacts (ton Cseq potential lost)","2011",12.853642652483,"Production impacts"
"2190","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2001",-0.992994559219906,"Production impacts"
"2239","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2001",-2.87262872628727,"Production impacts"
"2288","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2002",-2.14640292945474,"Production impacts"
"2337","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2002",-3.73983739837399,"Production impacts"
"2386","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2003",-1.13960312142444,"Production impacts"
"2435","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2003",0.201239636158738,"Production impacts"
"2484","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2004",-5.91299268467638,"Production impacts"
"2533","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2004",-6.39009193830256,"Production impacts"
"2582","Brazil","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2005",-8.81699899054455,"Production impacts"
"2631","Brazil","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2005",-9.11967038222418,"Production impacts"
